Energy (kcal),Protein (g),Carbohydrate (g),"Sugars, total (g)","Fiber, total dietary (g)",Total Fat (g),"Fatty acids, total saturated (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",Cholesterol (mg),Retinol (mcg),"Vitamin A, RAE (mcg_RAE)","Carotene, alpha (mcg)","Carotene, beta (mcg)","Cryptoxanthin, beta (mcg)",Lycopene (mcg),Lutein + zeaxanthin (mcg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),Folic acid (mcg),"Folate, food (mcg)","Folate, DFE (mcg_DFE)","Folate, total (mcg)","Choline, total (mg)",Vitamin B-12 (mcg),"Vitamin B-12, added (mcg)",Vitamin C (mg),Vitamin D (D2 + D3) (mcg),Vitamin E (alpha-tocopherol) (mg),"Vitamin E, added (mg)",Vitamin K (phylloquinone) (mcg),Calcium (mg),Phosphorus (mg),Magnesium (mg),Iron (mg),Zinc (mg),Copper (mg),Selenium (mcg),Potassium (mg),Sodium (mg),Caffeine (mg),Theobromine (mg),Alcohol (g),4:0    (g),6:0    (g),8:0    (g),10:0    (g),12:0    (g),14:0    (g),16:0    (g),18:0    (g),16:1        (g),18:1    (g),20:1    (g),22:1    (g),18:2    (g),18:3    (g),18:4    (g),20:4    (g),20:5 n-3 (g),22:5 n-3 (g),22:6 n-3 (g),Water (g),Price
61,3.15,4.8,5.05,0.0,3.25,1.865,0.812,0.195,10,45,46,0,7,0,0,0,0.046,0.16899999999999998,0.08900000000000001,0.036000000000000004,0,5,5,5,14.3,0.45,0.0,0.0,1.3,0.07,0.0,0.3,113,84,10,0.03,0.37,0.025,3.7,132,43,0,0,0.0,0.075,0.075,0.075,0.075,0.077,0.297,0.8290000000000001,0.365,0.0,0.812,0.0,0.0,0.12,0.075,0.0,0.0,0.0,0.0,0.0,88.13,0.14109600000000005
43,2.6,4.92,3.65,0.2,1.47,0.205,0.382,0.858,0,55,55,0,2,0,0,0,0.029,0.184,0.425,0.031,0,9,9,9,23.6,0.85,0.85,0.0,1.1,0.11,0.0,3.0,123,43,15,0.42,0.26,0.165,2.3,122,47,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.05,0.0,0.31,0.01,0.0,0.584,0.075,0.0,0.0,0.0,0.0,0.0,90.36,0.17637000000000005
38,0.42,6.59,6.25,0.4,1.04,0.0,0.625,0.208,0,63,63,0,0,0,0,0,0.015,0.177,0.075,0.003,0,1,1,1,1.0,0.63,0.63,0.0,1.0,2.81,2.81,0.0,188,8,7,0.3,0.63,0.017,0.1,50,63,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.619,0.0,0.0,0.208,0.0,0.0,0.0,0.0,0.0,0.0,91.8,0.188128
47,0.28,9.17,5.28,0.3,0.97,0.0,0.625,0.313,0,63,63,0,0,0,0,0,0.027000000000000003,0.142,0.39,0.039,0,2,2,2,2.1,0.63,0.63,0.0,1.0,0.47,0.13,0.2,118,56,11,0.2,0.13,0.037000000000000005,2.2,27,39,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.624,0.0,0.0,0.305,0.008,0.0,0.0,0.0,0.0,0.0,89.28,0.270434
31,0.21,2.92,2.5,0.0,2.08,2.083,0.0,0.0,0,63,63,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.63,0.63,0.0,1.0,0.0,0.0,0.0,188,0,0,0.3,0.0,0.0,0.0,19,19,0,0,0.0,0.0,0.013,0.165,0.131,1.042,0.411,0.199,0.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.57,0.30570800000000004
61,3.47,4.66,4.66,0.0,3.25,2.096,0.893,0.092,13,27,27,0,5,0,0,0,0.029,0.142,0.075,0.032,0,7,7,7,15.2,0.37,0.0,0.5,1.2,0.06,0.0,0.2,121,95,12,0.05,0.59,0.009000000000000001,2.2,155,46,0,0,0.0,0.096,0.066,0.042,0.093,0.111,0.343,0.8859999999999999,0.317,0.071,0.743,0.0,0.0,0.065,0.027000000000000003,0.0,0.0,0.0,0.0,0.0,87.89,0.4703200000000001
63,5.25,7.04,7.04,0.0,1.55,1.0,0.426,0.044,6,14,14,0,2,0,0,0,0.044,0.214,0.114,0.049,0,11,11,11,15.2,0.56,0.0,0.8,1.2,0.03,0.0,0.2,183,144,17,0.08,0.89,0.013,3.3,234,70,0,0,0.0,0.046,0.032,0.02,0.044,0.053,0.163,0.422,0.151,0.034,0.354,0.0,0.0,0.031,0.013,0.0,0.0,0.0,0.0,0.0,85.06,0.5526260000000001
56,5.73,7.68,7.68,0.0,0.18,0.116,0.049,0.005,2,2,2,0,0,0,0,0,0.048,0.234,0.124,0.053,0,12,12,12,15.2,0.61,0.0,0.9,1.2,0.0,0.0,0.2,199,157,19,0.09,0.97,0.015,3.6,255,77,0,0,0.0,0.005,0.004,0.002,0.005,0.006,0.019,0.049,0.018000000000000002,0.004,0.041,0.0,0.0,0.004,0.001,0.0,0.0,0.0,0.0,0.0,85.22,0.623174
97,9.0,3.98,4.0,0.0,5.0,2.395,2.136,0.469,13,1,2,0,7,0,0,0,0.023,0.278,0.208,0.063,0,5,5,5,15.1,0.75,0.0,0.0,0.0,0.01,0.0,0.0,100,135,11,0.0,0.52,0.017,9.7,141,35,0,0,0.0,0.0,0.051,0.086,0.264,0.127,0.316,1.0,0.422,0.049,0.993,0.034,0.0,0.209,0.023,0.0,0.0,0.0,0.0,0.004,81.3,0.70548
73,9.95,3.94,3.56,0.0,1.92,1.23,0.486,0.076,10,90,90,0,6,0,0,1,0.044,0.233,0.197,0.055,0,12,12,12,15.2,0.52,0.0,0.8,0.0,0.04,0.0,0.2,115,137,11,0.04,0.6,0.021,12.4,141,34,0,0,0.0,0.047,0.035,0.024,0.067,0.062,0.194,0.57,0.195,0.031,0.4270000000000001,0.004,0.0,0.065,0.006999999999999999,0.0,0.002,0.0,0.0,0.0,83.56,0.6584479999999999
